"PassengerId","Survived"
892,0
893,0
894,1
895,1
896,1
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,1
905,0
906,0
907,1
908,0
909,0
910,1
911,0
912,0
913,1
914,1
915,0
916,0
917,0
918,0
919,1
920,1
921,1
922,1
923,1
924,1
925,0
926,0
927,0
928,1
929,0
930,1
931,1
932,1
933,1
934,0
935,1
936,1
937,1
938,0
939,1
940,0
941,0
942,0
943,1
944,0
945,1
946,1
947,1
948,1
949,0
950,1
951,1
952,0
953,0
954,1
955,0
956,1
957,1
958,1
959,0
960,0
961,0
962,0
963,1
964,0
965,1
966,0
967,1
968,1
969,1
970,0
971,0
972,1
973,0
974,0
975,1
976,0
977,0
978,0
979,0
980,1
981,1
982,1
983,1
984,1
985,0
986,0
987,1
988,0
989,0
990,1
991,0
992,1
993,1
994,1
995,0
996,1
997,1
998,0
999,0
1000,1
1001,0
1002,0
1003,1
1004,0
1005,1
1006,1
1007,1
1008,0
1009,1
1010,1
1011,0
1012,1
1013,1
1014,0
1015,0
1016,1
1017,1
1018,1
1019,1
1020,0
1021,1
1022,0
1023,1
1024,0
1025,1
1026,1
1027,1
1028,0
1029,1
1030,1
1031,0
1032,1
1033,1
1034,1
1035,0
1036,1
1037,1
1038,1
1039,1
1040,0
1041,0
1042,0
1043,0
1044,1
1045,0
1046,1
1047,0
1048,0
1049,1
1050,1
1051,0
1052,1
1053,0
1054,0
1055,1
1056,1
1057,1
1058,0
1059,0
1060,0
1061,1
1062,1
1063,1
1064,0
1065,0
1066,1
1067,0
1068,0
1069,1
1070,1
1071,0
1072,0
1073,1
1074,1
1075,1
1076,1
1077,0
1078,1
1079,1
1080,1
1081,0
1082,1
1083,0
1084,1
1085,0
1086,0
1087,0
1088,0
1089,0
1090,0
1091,1
1092,0
1093,0
1094,0
1095,1
1096,1
1097,1
1098,1
1099,0
1100,1
1101,0
1102,0
1103,1
1104,1
1105,0
1106,1
1107,0
1108,0
1109,0
1110,1
1111,1
1112,0
1113,0
1114,0
1115,0
1116,1
1117,0
1118,1
1119,1
1120,0
1121,1
1122,1
1123,1
1124,0
1125,0
1126,0
1127,1
1128,0
1129,1
1130,0
1131,0
1132,0
1133,0
1134,0
1135,1
1136,1
1137,0
1138,0
1139,0
1140,0
1141,1
1142,1
1143,0
1144,1
1145,1
1146,0
1147,0
1148,0
1149,0
1150,0
1151,1
1152,1
1153,0
1154,0
1155,1
1156,1
1157,0
1158,1
1159,1
1160,0
1161,0
1162,1
1163,0
1164,1
1165,1
1166,1
1167,0
1168,0
1169,1
1170,0
1171,0
1172,0
1173,0
1174,1
1175,1
1176,1
1177,1
1178,0
1179,1
1180,1
1181,0
1182,1
1183,1
1184,1
1185,0
1186,0
1187,1
1188,1
1189,0
1190,0
1191,0
1192,1
1193,1
1194,0
1195,1
1196,0
1197,1
1198,1
1199,1
1200,1
1201,1
1202,0
1203,0
1204,1
1205,0
1206,1
1207,0
1208,0
1209,0
1210,0
1211,0
1212,0
1213,0
1214,0
1215,1
1216,1
1217,0
1218,0
1219,0
1220,1
1221,0
1222,0
1223,0
1224,0
1225,0
1226,0
1227,1
1228,1
1229,0
1230,1
1231,0
1232,1
1233,1
1234,1
1235,0
1236,0
1237,0
1238,1
1239,1
1240,0
1241,0
1242,1
1243,1
1244,1
1245,0
1246,0
1247,1
1248,0
1249,1
1250,1
1251,0
1252,0
1253,0
1254,1
1255,1
1256,0
1257,0
1258,1
1259,1
1260,0
1261,1
1262,0
1263,0
1264,1
1265,0
1266,1
1267,0
1268,0
1269,1
1270,0
1271,0
1272,0
1273,1
1274,1
1275,1
1276,0
1277,0
1278,1
1279,0
1280,1
1281,1
1282,0
1283,0
1284,1
1285,0
1286,1
1287,1
1288,0
1289,0
1290,1
1291,1
1292,1
1293,1
1294,0
1295,0
1296,0
1297,0
1298,1
1299,0
1300,0
1301,0
1302,1
1303,0
1304,1
1305,1
1306,0
1307,0
1308,1
1309,1
